last_updated,supply_needs,updated_at,county,updatedAt,id,city,pets_notes,zip,special_needs,source,state,pets,latitude,updated_by,shelter,cleanPhone,phone,address,accepting,google_place_id,volunteer_needs,notes,longitude,needs/0,needs/1,needs/2,needs/3,needs/4,needs/5,needs/6,needs/7,needs/8,needs/9,needs/10,needs/11,needs/12,needs/13,needs/14,needs/15,needs/16,needs/17,needs/18
2017-09-09T20:14:17-05:00,,2017-09-09T20:14:17-05:00,Flagler County,2017-09-09T20:14:17-05:00,726,Palm Coast,,32164,false,http://www.flaglercounty.org/alert_detail.php,,No,29.5300118,, Buddy Taylor – Wadsworth campus ,badphone,2-1-1,"4500 Belle Terre Pkwy, Palm Coast, FL 32164, USA",true,ChIJ5U9E8-6U5ogRso5BAbJKUeA,,"For the General Population.

web: http://www.flaglercounty.org/alert_detail.php

Radio: WNZF 
1550 am 
106.3 fm
WKIX  98.7 fm   
and Flagler Radio App worldwide

Social Media: 
Facebook.com/FlaglerCountyGovernment
Facebook.com/FlaglerEOC
Twitter.com/FlaglerCtyGov
Twitter.com/FlaglerEM
Television:
Spectrum channel 492",-81.2226937,,,,,,,,,,,,,,,,,,,
2017-09-10T23:04:33-05:00,Unknown,2017-09-10T23:04:33-05:00,Sumter County,2017-09-10T23:04:33-05:00,264,Center Hill,Unknown,33514,false,http://sumtercountyfl.gov/1109/Shelters,,No,28.6485753,, Center Hill Recreation Center ,badphone,Unknown,74 S. Virginia Ave.,true,Eis3NCBWaXJnaW5pYSBBdmUsIENlbnRlciBIaWxsLCBGTCAzMzUxNCwgVVNB,Unknown,,-81.9972577,Unknown,Unknown,,,,,,,,,,,,,,,,,
2017-09-12T20:22:28-05:00,,2017-09-12T20:22:28-05:00,Polk County,2017-09-12T20:22:28-05:00,300,Davenport,No,33837,false,www.polk-county.net,,No,28.228221,, Davenport School of the Arts,8634202557,863-420-2557,4751 North CR 547,false,ChIJ037yzOF53YgRBzbe7-RDQhU,,"Polk county residents are encouraged to obtain a 2017 Polk County Public Shelter map. These can be viewed obtained here: http://www.dailyridge.com/en/2017/09/05/map-information-regarding-polk-county-shelters-for-hurricane-irma/.
They are also available at area Publix supermarkets.

Shelter Closed
Timestamp: 9:15 PM EST
Confirmation: Called Polk Emergency Management 863-298-7000",-81.584523,,,,,,,,,,,,,,,,,,,
2017-09-12T14:14:37-05:00,,2017-09-12T14:14:37-05:00,Butts County,2017-09-12T14:14:37-05:00,1190,Flovilla,Georgia State Parks are open to all evacuees at no cost and no pet fees,30216,false,https://gema-soc.maps.arcgis.com/apps/webappviewer/index.html?id=279ef7cfc1da45edb640723c12b02b18,,Yes,33.2474843,, Indian Springs Group Shelte,badphone,2-1-1,"678 Lake Clark Rd, Flovilla, GA 30216, USA",false,ChIJn7DLeigV9IgRo_NlqdI64tc,,DNR - State Park,-83.9331089,,,,,,,,,,,,,,,,,,,
2017-09-12T20:14:22-05:00,,2017-09-12T20:14:22-05:00,Duval County,2017-09-12T20:14:22-05:00,406,Jacksonville,Yes.  http://www.coj.net/departments/fire-and-rescue/emergency-preparedness/be-jaxready/shelter-information/pet-friendly-shelters.aspx,32225,false,http://www.coj.net/welcome/news/hurricane-irma-eoc-briefings,,No,30.323335,, Landmark Middle School,9046302489,(904) 630-2489,101 Kernan Blvd N,false,ChIJmanOaWxL5IgRRk2IXuduryQ,,"Closed as of 4:15pm, Tues 9/12",-81.486827,,,,,,,,,,,,,,,,,,,
2017-09-09T04:20:05-05:00,Unknown,2017-09-09T04:20:05-05:00,Sumter County,2017-09-09T04:20:05-05:00,230,Bushnell,Yes. Pets must be crated.,33513,,http://sumtercountyfl.gov/1109/Shelters,,No,28.643801,, Sumter County Fairgrounds,badphone,"407-682-6297((Paul Vesco, Manager), 407-466-5781(unverified), (352) 633-7491(unverified)",7620 SR 471,false,ChIJS42TiUPl54gRemcp_W7h9kQ,Unknown,,-82.05667,Unknown,Unknown,,,,,,,,,,,,,,,,,
2017-09-13T14:40:35-05:00,,2017-09-13T14:40:35-05:00,Levy County,2017-09-13T14:40:35-05:00,606,Williston,,32696,false,http://www.levydisaster.com/,,No,29.3760838,, Williston Elementary School,3525286030,(352) 528-6030,"801 S Main St, Williston, FL 32696, USA",false,ChIJYeHonzuO6IgRzvIXP3M1DV4,,Closed,-82.4460967,,,,,,,,,,,,,,,,,,,
2017-09-10T13:10:13-05:00,,2017-09-10T13:10:13-05:00,Levy County,2017-09-10T13:10:13-05:00,605,Williston,,32696,false,http://www.levydisaster.com/,,No,29.3693488,, Williston Middle High School,3525283542,(352) 528-3542,"350 Robert Philpot Way, Williston, FL 32696, USA",true,ChIJ-8gnwj2O6IgRSkVzSg5HC3c,,,-82.450249,,,,,,,,,,,,,,,,,,,
2017-09-11T12:12:09-05:00,"Owners will be required to provide the necessary feed, hay and tack to care for all horses while here. ",2017-09-11T12:12:09-05:00,Taliaferro County,2017-09-11T12:12:09-05:00,1063,Crawfordville,YES,30631,false,http://www.gema.ga.gov/Web%20Content/GEMA_HS%20Shelter%20Information.pdf,,Yes,33.5602543,,A.H. Stephens State Park ,7064562602,(706) 456-2602,"456 Alexander St, Crawfordville, GA 30631, USA",false,ChIJz8UlLSUA94gRpeEQxWvVaoE,,,-82.8970351,Owners will be required to provide the necessary feed, hay and tack to care for all horses while here. ,,,,,,,,,,,,,,,,,
2017-09-10T21:09:18-05:00,,2017-09-10T21:09:18-05:00,Richmond County,2017-09-10T21:09:18-05:00,994,Augusta,No,30904,false,http://gema.ga.gov/Web%20Content/GEMA_HS%20Shelter%20Information.pdf,,No,33.4738113,,ARC - Academy of Richmond County,7067377152,(706) 737-7152,"910 Russell St, Augusta, GA 30904, USA",true,ChIJV3fEB7fN-YgR4Ks7UOT4NuQ,,,-82.005436,,,,,,,,,,,,,,,,,,,
